"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.01.2025","118.533","120.125","120.356","118.404","9,80B","-1,33%"
"02.01.2025","120.125","120.283","120.782","119.120","9,37B","-0,13%"
"30.12.2024","120.283","120.267","121.050","120.158","8,90B","0,01%"
"27.12.2024","120.269","121.078","121.609","120.252","8,94B","-0,67%"
"26.12.2024","121.078","120.767","121.612","120.428","8,34B","0,26%"
"23.12.2024","120.767","122.105","122.105","120.617","9,95B","-1,09%"
"20.12.2024","122.102","121.183","122.209","120.700","18,13B","0,75%"
"19.12.2024","121.188","120.768","121.770","120.768","13,68B","0,34%"
"18.12.2024","120.772","124.699","124.699","120.457","19,74B","-3,15%"
"17.12.2024","124.698","123.560","125.301","123.560","17,56B","0,92%"
"16.12.2024","123.560","124.610","124.956","123.495","11,07B","-0,84%"
"13.12.2024","124.612","126.102","126.290","124.578","11,76B","-1,13%"
"12.12.2024","126.042","129.587","129.587","125.829","13,45B","-2,74%"
"11.12.2024","129.593","128.228","130.899","127.362","13,17B","1,06%"
"10.12.2024","128.228","127.213","128.511","127.213","9,14B","0,80%"
"09.12.2024","127.210","125.946","127.542","125.946","9,37B","1,00%"
"06.12.2024","125.946","127.856","127.872","125.833","11,22B","-1,50%"
"05.12.2024","127.858","126.088","127.989","126.087","9,53B","1,40%"
"04.12.2024","126.087","126.139","126.720","125.828","9,39B","-0,04%"
"03.12.2024","126.139","125.235","126.417","125.233","9,99B","0,72%"
"02.12.2024","125.236","125.668","125.901","124.734","11,52B","-0,34%"
"29.11.2024","125.668","124.611","126.056","123.946","16,40B","0,85%"
"28.11.2024","124.610","127.667","127.668","124.390","12,83B","-2,40%"
"27.11.2024","127.669","129.923","130.283","127.669","12,32B","-1,73%"
"26.11.2024","129.922","129.043","130.361","129.042","9,75B","0,69%"
"25.11.2024","129.036","129.125","129.495","128.932","14,41B","-0,07%"
"22.11.2024","129.126","126.944","129.126","126.944","9,19B","1,74%"
"21.11.2024","126.922","128.197","128.197","126.594","10,27B","-0,99%"
"19.11.2024","128.197","127.768","128.579","127.235","9,10B","0,34%"
"18.11.2024","127.768","127.791","128.277","127.226","10,74B","-0,02%"
"14.11.2024","127.792","127.734","128.423","127.389","13,14B","0,05%"
"13.11.2024","127.734","127.698","128.100","126.869","12,69B","0,03%"
"12.11.2024","127.698","127.873","128.210","127.411","9,52B","-0,14%"
"11.11.2024","127.874","127.829","128.095","127.306","8,40B","0,03%"
"08.11.2024","127.830","129.647","129.647","126.973","13,18B","-1,43%"
"07.11.2024","129.682","130.341","131.319","129.406","10,52B","-0,51%"
"06.11.2024","130.341","130.613","130.670","128.822","10,54B","-0,24%"
"05.11.2024","130.661","130.515","130.769","129.692","8,56B","0,11%"
"04.11.2024","130.515","128.130","130.609","128.128","9,01B","1,87%"
"01.11.2024","128.121","129.718","129.902","128.070","9,90B","-1,23%"
"31.10.2024","129.713","130.639","130.798","129.642","9,07B","-0,71%"
"30.10.2024","130.639","130.730","131.027","130.473","7,33B","-0,07%"
"29.10.2024","130.730","131.214","131.765","130.693","7,64B","-0,37%"
"28.10.2024","131.213","129.894","131.421","129.894","7,14B","1,02%"
"25.10.2024","129.893","130.067","130.529","129.806","8,51B","-0,13%"
"24.10.2024","130.067","129.233","130.130","128.798","8,31B","0,65%"
"23.10.2024","129.233","129.949","129.949","128.589","7,96B","-0,55%"
"22.10.2024","129.951","130.346","130.346","129.094","8,22B","-0,31%"
"21.10.2024","130.362","130.499","131.124","130.157","7,77B","-0,11%"
"18.10.2024","130.499","130.793","131.725","130.121","8,68M","-0,22%"
"17.10.2024","130.793","131.716","131.716","129.902","7,09M","-0,73%"
"16.10.2024","131.750","131.045","132.233","130.780","10,28M","0,54%"
"15.10.2024","131.043","131.005","131.457","130.200","7,98M","0,03%"
"14.10.2024","131.005","129.992","131.220","129.729","8,50M","0,78%"
"11.10.2024","129.992","130.354","130.354","129.338","7,97M","-0,28%"
"10.10.2024","130.353","129.963","130.418","129.835","7,62M","0,30%"
"09.10.2024","129.962","131.510","131.520","129.719","9,22M","-1,18%"
